
 id 	name 	crosscomb 	orig 	year 	breeder c id 	name 	crosscomb 	orig 	year 	breeder code 	breeder 	reference
1 	 find progeny of 002/9       002/9 	PENTLAND DELL x WHITU 	 NZL 				
9184 	 find progeny of 01-EDQ-1       01-EDQ-1 	DORADO x SARPO MIRA 	 DEN 			LANDBRUGETS KARTOFFELFOND 	
2 	 find progeny of 1-65.209/102 B       1-65.209/102 B 	LU. 55.958/47 x LU. 57.118/30 G 	 DDR 				
3 	 find progeny of 1-65.751/132 N       1-65.751/132 N 	LU. 57.365/56 N x AXILIA 	 DDR 				
4 	 find progeny of 1-67.254/13 N       1-67.254/13 N 	MARIELLA x LU. 60.1078/6 N 	 DDR 				
5 	 find progeny of 1-70.486/108 N       1-70.486/108 N 	WE. 58.7/49 N x LU. 64.404/11 N 	 DDR 				
6 	 find progeny of 1-71.17/6 N+B       1-71.17/6 N+B 	XENIA x WE. 58.42/9 N 	 DDR 				
372 	 find progeny of 10060.1       10060.1 	95043 x 8413.3 	 SU 				
227 	 find progeny of 1020-1       1020-1 	581-16 x EARLAINE 	 CAN 				
373 	 find progeny of 10223(7)       10223(7) 	3146A(3) x 7377(9) 	 GB 			SCRI 	
121 	 find progeny of 103-14       103-14 	RURAL NEW YORKER NO. 2 x selfed unknown french variety 	 USA 				
375 	 find progeny of 10300(13)       10300(13) 	MARIS PIPER x 7395(2) 	 GB 			SCRI 	
374 	 find progeny of 10300(5)       10300(5) 	MARIS PIPER x 7395(2) 	 GB 			SCRI 	
376 	 find progeny of 10341AB(18)       10341AB(18) 	PENTLAND JAVELIN x MARIS PIPER 	 GB 			SCRI 	
122 	 find progeny of 104.99.6       104.99.6 	ALTESSE x EMERAUDE 	 FRA 			GROCEP 	
380 	 find progeny of 10560(140)       10560(140) 	G 20/26 x K 5/2 	 GB 		H1H3/140 	SCRI 	
378 	 find progeny of 10560(32)       10560(32) 	G 20/26 x K 5/2 	 GB 		H1H3/32 	SCRI 	
377 	 find progeny of 10560(6)       10560(6) 	G 20/26 x K 5/2 	 GB 		H1H3/6 	SCRI 	
379 	 find progeny of 10560(75)       10560(75) 	G 20/26 x K 5/2 	 GB 		H1H3/75 	SCRI 	
228 	 find progeny of 1062-49       1062-49 	scottish seedling x WHA 	 NZL 			NEW ZEALAND INSTITUTE FOR CROP & FOOD RESEARCH LIMITED 	
229 	 find progeny of 1071/79/2793       1071/79/2793 	131/73/2264 x 358/73/2261 	 BRD 		BM 1071-79 	KARTOFFELZUCHT BOHM 	
381 	 find progeny of 10710,1       10710,1 	(mag x KAMERAZ) x IZTADES 	 SU 				
382 	 find progeny of 10792.2       10792.2 	10060.1 x MPI 40.663/21 	 SU 				
9046 	 find progeny of 1084       1084 	1325/77/2620 x AGRIA 	 BRD 				
383 	 find progeny of 10886(10)       10886(10) 	10560(6) x PENTLAND IVORY 	 GB 			SCRI 	
384 	 find progeny of 10899AD(14)       10899AD(14) 	10560(32) x PENTLAND IVORY 	 GB 			SCRI 	
385 	 find progeny of 10899AD(15)       10899AD(15) 	10560(32) x PENTLAND IVORY 	 GB 			SCRI 	
